Developer,Repository Name, Number of StarsOpenBMB,MiniCPM-o,15508
facebook,folly,28846
unionlabs,union,12396
web-infra-dev,midscene,3319
practical-tutorials,project-based-learning,213115
linuxserver,docker-webtop,2616
PathOfBuildingCommunity,PathOfBuilding,4304
Dokploy,dokploy,11268
benbusby,whoogle-search,9902
hashicorp,terraform,43692
google,comprehensive-rust,28479
openai,openai-realtime-console,2647
ruanyf,weekly,51351
